sku,sku_name,division,category,subcategory,supplier_id,lead_time_days,place_in_month,order_arrival_month,order_units,case_pack,moq_units,unit_cost_usd,order_value_usd,reorder_point,safety_stock,order_up_to,weeks_of_supply
BTR-2202,Windowsill Planter Box,Outdoor Gardening,Garden Kits,Planters,SUP-08,21,2027-04,2027-05,5040,4,1200,14.2,71568.0,3767.0,1918.0,6409.0,8.2
BTR-1204,Herb Garden Trio Gift Set,Indoor Growing,Herb Kits,Gifting,SUP-03,88,2027-04,2027-07,5360,4,1200,12.1684,65222.62,13711.0,4722.0,16776.0,25.1
BTR-1201,Windowsill Herb Kit - Basil,Indoor Growing,Herb Kits,Single Herb,SUP-04,110,2027-04,2027-08,11940,12,2400,5.2816,63062.3,30694.0,7199.0,37102.0,24.1
BTR-1103,Self-Watering Countertop Grow Kit,Indoor Growing,Water Garden,Systems,SUP-04,110,2027-04,2027-08,2412,4,800,20.1663,48641.12,8908.0,2357.0,10695.0,18.6
BTR-1005,Mushroom Kit Holiday Gift Box,Indoor Growing,Mushroom Kits,Gifting,SUP-02,102,2027-04,2027-08,2856,4,1200,14.5888,41665.61,10935.0,3412.0,13148.0,21.4
BTR-2104,Organic Compost Blend 8qt,Outdoor Gardening,Soils & Media,Amendments,SUP-07,10,2027-04,2027-05,11970,6,8000,3.1,37107.0,6688.0,4064.0,14559.0,7.4
BTR-2004,Organic Wildflower Pollinator Mix,Outdoor Gardening,Seeds,Flower,SUP-09,18,2027-04,2027-05,9216,24,4000,2.4192,22295.35,10168.0,5927.0,17237.0,11.6
BTR-2101,Organic Potting Mix 12qt,Outdoor Gardening,Soils & Media,Potting,SUP-06,14,2027-05,2027-06,35274,6,10000,4.3,151678.2,36598.0,21872.0,68153.0,10.2
BTR-2103,Organic Raised Bed Mix 1.5 cu ft,Outdoor Gardening,Soils & Media,Raised Bed,SUP-07,10,2027-05,2027-06,14992,4,6000,8.9,133428.8,10814.0,6630.0,23365.0,8.3
BTR-2102,Organic Seed Starting Mix 8qt,Outdoor Gardening,Soils & Media,Starting,SUP-06,14,2027-05,2027-06,31488,6,8000,3.6,113356.8,24685.0,14922.0,45606.0,7.6
BTR-2201,Raised Bed Starter Kit,Outdoor Gardening,Garden Kits,Beds,SUP-08,21,2027-05,2027-06,1946,1,600,32.5,63245.0,2206.0,1002.0,3926.0,10.3
BTR-2001,Organic Seed Variety Pack - 12ct,Outdoor Gardening,Seeds,Variety Packs,SUP-05,35,2027-05,2027-07,14904,12,3000,3.8325,57119.58,23460.0,11697.0,33543.0,20.6
BTR-2204,Garden Gift Set - Grow Your Own,Outdoor Gardening,Garden Kits,Gifting,SUP-03,88,2027-05,2027-08,2660,4,900,17.6232,46877.71,8805.0,4042.0,10429.0,30.7
BTR-2202,Windowsill Planter Box,Outdoor Gardening,Garden Kits,Planters,SUP-08,21,2027-05,2027-06,3300,4,1200,14.2,46860.0,3767.0,1918.0,6409.0,9.8
BTR-2203,Kids Pizza Garden Grow Kit,Outdoor Gardening,Garden Kits,Kids,SUP-03,88,2027-05,2027-08,5106,6,1500,8.8116,44992.03,12769.0,4135.0,15712.0,24.3
BTR-1102,Water Garden Refill & Seed Kit,Indoor Growing,Water Garden,Consumables,SUP-03,88,2027-05,2027-08,7680,12,2500,4.4058,33836.54,16234.0,4459.0,20248.0,22.2
BTR-2005,Kids Garden Seed Starter Kit,Outdoor Gardening,Seeds,Kids,SUP-05,35,2027-05,2027-07,4680,8,1500,6.3364,29654.35,6472.0,3209.0,9268.0,18.0
BTR-2104,Organic Compost Blend 8qt,Outdoor Gardening,Soils & Media,Amendments,SUP-07,10,2027-05,2027-06,9036,6,8000,3.1,28011.6,6688.0,4064.0,14559.0,8.5
BTR-1205,Microgreens Grow Kit,Indoor Growing,Herb Kits,Microgreens,SUP-03,88,2027-05,2027-08,4536,12,1500,6.0842,27597.93,8488.0,1865.0,10746.0,20.0
BTR-2002,Organic Heirloom Tomato Seeds,Outdoor Gardening,Seeds,Vegetable,SUP-05,35,2027-05,2027-07,27576,24,6000,0.9709,26773.54,33151.0,15941.0,47902.0,15.8
BTR-2003,Organic Culinary Herb Seed Pack,Outdoor Gardening,Seeds,Herb,SUP-05,35,2027-05,2027-07,17880,24,6000,1.1242,20100.7,22912.0,10510.0,33542.0,17.1
BTR-2102,Organic Seed Starting Mix 8qt,Outdoor Gardening,Soils & Media,Starting,SUP-06,14,2027-06,2027-07,25446,6,8000,3.6,91605.6,24685.0,14922.0,45606.0,8.4
BTR-2004,Organic Wildflower Pollinator Mix,Outdoor Gardening,Seeds,Flower,SUP-09,18,2027-06,2027-07,11592,24,4000,2.4192,28043.37,10168.0,5927.0,17237.0,9.2
BTR-2101,Organic Potting Mix 12qt,Outdoor Gardening,Soils & Media,Potting,SUP-06,14,2027-07,2027-08,51330,6,10000,4.3,220719.0,36598.0,21872.0,68153.0,7.5
BTR-2103,Organic Raised Bed Mix 1.5 cu ft,Outdoor Gardening,Soils & Media,Raised Bed,SUP-07,10,2027-07,2027-08,21776,4,6000,8.9,193806.4,10814.0,6630.0,23365.0,5.0
BTR-2201,Raised Bed Starter Kit,Outdoor Gardening,Garden Kits,Beds,SUP-08,21,2027-07,2027-08,3029,1,600,32.5,98442.5,2206.0,1002.0,3926.0,6.8
BTR-2102,Organic Seed Starting Mix 8qt,Outdoor Gardening,Soils & Media,Starting,SUP-06,14,2027-07,2027-08,21498,6,8000,3.6,77392.8,24685.0,14922.0,45606.0,9.2
BTR-2202,Windowsill Planter Box,Outdoor Gardening,Garden Kits,Planters,SUP-08,21,2027-07,2027-08,5220,4,1200,14.2,74124.0,3767.0,1918.0,6409.0,6.2
BTR-2104,Organic Compost Blend 8qt,Outdoor Gardening,Soils & Media,Amendments,SUP-07,10,2027-07,2027-08,13110,6,8000,3.1,40641.0,6688.0,4064.0,14559.0,5.4
